"tablescraper-selected-row","tablescraper-selected-row 2","xl68","xl68 2","xl67","xl67 href","xl67 2","xl70","xl70 2","xl69","xl69 href","xl69 2"
"US rank 2024","State","","","","","","","","","",""
"1","California","2","=3","Stanford University","https://www.timeshighereducation.com/world-university-rankings/stanford-university","Stanford","","","","",""
"2","Massachusetts","","","","","","3","5","Massachusetts Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology","Cambridge"
"3","Massachusetts","4","2","Harvard University","https://www.timeshighereducation.com/world-university-rankings/harvard-university","Cambridge","","","","",""
"4","New Jersey","","","","","","6","7","Princeton University","https://www.timeshighereducation.com/world-university-rankings/princeton-university","Princeton"
"5","California","7","6","California Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/california-institute-technology","Pasadena","","","","",""
"6","California","","","","","","9","8","University of California, Berkeley","https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley","Berkeley"
"7","Connecticut","10","9","Yale University","https://www.timeshighereducation.com/world-university-rankings/yale-university","New Haven","","","","",""
"8","Illinois","","","","","","13","13","The University of Chicago","https://www.timeshighereducation.com/world-university-rankings/university-chicago","Chicago"
"9","Maryland","15","15","Johns Hopkins University","https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university","Baltimore","","","","",""
"10","Pennsylvania","","","","","","16","14","University of Pennsylvania","https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania","Philadelphia"
"11","New York","17","=11","Columbia University","https://www.timeshighereducation.com/world-university-rankings/columbia-university","New York City","","","","",""
"12","California","","","","","","18","21","University of California, Los Angeles","https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles","Los Angeles"
"13","New York","20","20","Cornell University","https://www.timeshighereducation.com/world-university-rankings/cornell-university","Ithaca","","","","",""
"14","Michigan","","","","","","23","23","University of Michigan-Ann Arbor","https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor","Ann Arbor"
"15","Pennsylvania","24","28","Carnegie Mellon University","https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university","Pittsburgh","","","","",""
"16","Washington","","","","","","25","=26","University of Washington","https://www.timeshighereducation.com/world-university-rankings/university-washington","Seattle"
"17","North Carolina","26","25","Duke University","https://www.timeshighereducation.com/world-university-rankings/duke-university","Durham","","","","",""
"18","New York","","","","","","27","24","New York University","https://www.timeshighereducation.com/world-university-rankings/new-york-university","New York City"
"19","Illinois","28","=26","Northwestern University","https://www.timeshighereducation.com/world-university-rankings/northwestern-university","Evanston","","","","",""
"20","California","","","","","","34","32","University of California, San Diego","https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego","San Diego"
"21","Georgia","36","38","Georgia Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology","Atlanta","","","","",""
"22","Illinois","","","","","","42","48","University of Illinois at Urbana-Champaign","https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign","Champaign"
"23","Texas","52","50","University of Texas at Austin","https://www.timeshighereducation.com/world-university-rankings/university-texas-austin","Austin","","","","",""
"24","California","","","","","","59","63","University of California, Davis","https://www.timeshighereducation.com/world-university-rankings/university-california-davis","Davis"
"25","Wisconsin","63","81","University of Wisconsin-Madison","https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison","Madison","","","","",""
"26","Rhode Island","","","","","","=64","61","Brown University","https://www.timeshighereducation.com/world-university-rankings/brown-university","Providence"
"27","Missouri","68","57","Washington University in St Louis","https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis","St Louis","","","","",""
"28","California","","","","","","69","64","University of California, Santa Barbara","https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara","Santa Barbara"
"29","North Carolina","72","69","University of North Carolina at Chapel Hill","https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill","Chapel Hill","","","","",""
"30","California","","","","","","74","65","University of Southern California","https://www.timeshighereducation.com/world-university-rankings/university-southern-california","Los Angeles"
"31","Massachusetts","78","=71","Boston University","https://www.timeshighereducation.com/world-university-rankings/boston-university","Boston","","","","",""
"32","Minnesota","","","","","","85","=101","University of Minnesota","https://www.timeshighereducation.com/world-university-rankings/university-minnesota","Minneapolis"
"33","Indiana","86","127","Purdue University West Lafayette","https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette","West Lafayette","","","","",""
"=34","California","","","","","","=92","=95","University of California, Irvine","https://www.timeshighereducation.com/world-university-rankings/university-california-irvine","Irvine"
"=34","Tennessee","=92","98","Vanderbilt University","https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university","Nashville","","","","",""
"36","Ohio","","","","","","=99","112","Ohio State University (Main campus)","https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus","Columbus"
"37","Georgia","=106","=82","Emory University","https://www.timeshighereducation.com/world-university-rankings/emory-university","Atlanta","","","","",""
"38","Maryland","","","","","","114","=104","University of Maryland, College Park","https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park","College Park"
"39","Michigan","=116","106","Michigan State University","https://www.timeshighereducation.com/world-university-rankings/michigan-state-university","East Lansing","","","","",""
"40","Texas","","","","","","118","181","Texas A&M University","https://www.timeshighereducation.com/world-university-rankings/texas-am-university","College Station"
"41","Texas","=119","147","Rice University","https://www.timeshighereducation.com/world-university-rankings/rice-university","Houston","","","","",""
"42","Pennsylvania","","","","","","122","=151","Penn State (Main campus)","https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus","State College"
"43","Amherst, Boston, Dartmouth, Lowell, Worcester","=123","191","University of Massachusetts","https://www.timeshighereducation.com/world-university-rankings/university-massachusetts","","","","","",""
"44","Florida","","","","","","132","=151","University of Florida","https://www.timeshighereducation.com/world-university-rankings/university-florida","Gainesville"
"45","New York","133","154","University of Rochester","https://www.timeshighereducation.com/world-university-rankings/university-rochester","Rochester","","","","",""
"46","Colorado","","","","","","=138","=148","University of Colorado Boulder","https://www.timeshighereducation.com/world-university-rankings/university-colorado-boulder","Boulder"
"47","Pennsylvania","=145","144","University of Pittsburgh-Pittsburgh campus","https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh-pittsburgh-campus","Pittsburgh","","","","",""
"48","Arizona","","","","","","=155","180","University of Arizona","https://www.timeshighereducation.com/world-university-rankings/university-arizona","Tucson"
"49","New Hampshire","=161","123","Dartmouth College","https://www.timeshighereducation.com/world-university-rankings/dartmouth-college","Hanover","","","","",""
"50","Ohio","","","","","","=164","134","Case Western Reserve University","https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university","Cleveland"
"51","Virginia","166","=156","University of Virginia (Main campus)","https://www.timeshighereducation.com/world-university-rankings/university-virginia-main-campus","Charlottesville","","","","",""
"52","Arizona","","","","","","182","=156","Arizona State University (Tempe)","https://www.timeshighereducation.com/world-university-rankings/arizona-state-university-tempe","Tempe"
"53","Washington DC","=187","136","Georgetown University","https://www.timeshighereducation.com/world-university-rankings/georgetown-university","","","","","",""
"54","Massachusetts","","","","","","=191","=151","Tufts University","https://www.timeshighereducation.com/world-university-rankings/tufts-university","Medford"
"55","Indiana","198","=170","Indiana University","https://www.timeshighereducation.com/world-university-rankings/indiana-university","Bloomington","","","","",""
"56","Indiana","","","","","","=199","201–250","University of Notre Dame","https://www.timeshighereducation.com/world-university-rankings/university-notre-dame","Notre Dame"
"=57","California","201–250","=192","University of California, Santa Cruz","https://www.timeshighereducation.com/world-university-rankings/university-california-santa-cruz","Santa Cruz","","","","",""
"=57","Washington DC","","","","","","201–250","201–250","George Washington University","https://www.timeshighereducation.com/world-university-rankings/george-washington-university",""
"=57","Hawai'i","201–250","251–300","University of Hawai’i at Mānoa","https://www.timeshighereducation.com/world-university-rankings/university-hawaii-manoa","Honolulu","","","","",""
"=57","Illinois","","","","","","201–250","251–300","University of Illinois Chicago","https://www.timeshighereducation.com/world-university-rankings/university-illinois-chicago","Chicago"
"=57","Iowa","201–250","301–350","University of Iowa","https://www.timeshighereducation.com/world-university-rankings/university-iowa","Iowa City","","","","",""
"=57","Florida","","","","","","201–250","=194","University of Miami","https://www.timeshighereducation.com/world-university-rankings/university-miami","Coral Gables"
"=57","Massachusetts","201–250","=168","Northeastern University","https://www.timeshighereducation.com/world-university-rankings/northeastern-university","Boston","","","","",""
"=57","New Jersey","","","","","","201–250","201–250","Rutgers University – New Brunswick","https://www.timeshighereducation.com/world-university-rankings/rutgers-university-new-brunswick-0","New Brunswick"
"=57","Utah","201–250","251–300","University of Utah","https://www.timeshighereducation.com/world-university-rankings/university-utah","Salt Lake City","","","","",""
"=66","Massachusetts","","","","","","251–300","251–300","Boston College","https://www.timeshighereducation.com/world-university-rankings/boston-college","Boston"
"=66","Massachusetts","251–300","301–350","Brandeis University","https://www.timeshighereducation.com/world-university-rankings/brandeis-university","Waltham","","","","",""
"=66","California","","","","","","251–300","251–300","University of California, Riverside","https://www.timeshighereducation.com/world-university-rankings/university-california-riverside","Riverside"
"=66","Florida","251–300","301–350","Florida State University","https://www.timeshighereducation.com/world-university-rankings/florida-state-university","Tallahassee","","","","",""
"=66","North Carolina","","","","","","251–300","351–400","North Carolina State University","https://www.timeshighereducation.com/world-university-rankings/north-carolina-state-university","Raleigh"
"=66","Florida","251–300","201–250","University of South Florida","https://www.timeshighereducation.com/world-university-rankings/university-south-florida","Tampa","","","","",""
"=66","New York","","","","","","251–300","301–350","Stony Brook University","https://www.timeshighereducation.com/world-university-rankings/stony-brook-university","Stony Brook"
"=66","Virginia","251–300","251–300","Virginia Polytechnic Institute and State University","https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university","Blacksburg","","","","",""
"=74","New York","","","","","","301–350","301–350","University at Buffalo","https://www.timeshighereducation.com/world-university-rankings/university-buffalo","Buffalo"
"=74","Pennsylvania","301–350","301–350","Drexel University","https://www.timeshighereducation.com/world-university-rankings/drexel-university","Philadelphia","","","","",""
"=74","Oregon","","","","","","301–350","251–300","Oregon Health and Science University","https://www.timeshighereducation.com/world-university-rankings/oregon-health-and-science-university","Portland"
"=74","Tennessee","301–350","301–350","The University of Tennessee-Knoxville","https://www.timeshighereducation.com/world-university-rankings/university-tennessee-knoxville","Knoxville","","","","",""
"=74","Washington","","","","","","301–350","351–400","Washington State University","https://www.timeshighereducation.com/world-university-rankings/washington-state-university","Pullman"
"=79","Colorado","351–400","301–350","University of Colorado Denver","https://www.timeshighereducation.com/world-university-rankings/university-colorado-denver","Denver","","","","",""
"=79","Connecticut","","","","","","351–400","401–500","University of Connecticut","https://www.timeshighereducation.com/world-university-rankings/university-connecticut","Mansfield"
"=79","Georgia","351–400","601–800","University of Georgia","https://www.timeshighereducation.com/world-university-rankings/university-georgia","Athens","","","","",""
"=79","Illinois","","","","","","351–400","401–500","Illinois Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/illinois-institute-technology","Chicago"
"=79","Illinois","351–400","401–500","Iowa State University","https://www.timeshighereducation.com/world-university-rankings/iowa-state-university","Ames","","","","",""
"=79","Kansas","","","","","","351–400","401–500","University of Kansas","https://www.timeshighereducation.com/world-university-rankings/university-kansas","Lawrence"
"=79","Pennsylvania","351–400","301–350","Temple University","https://www.timeshighereducation.com/world-university-rankings/temple-university","Philadelphia","","","","",""
"=79","Texas","","","","","","351–400","351–400","University of Texas at Dallas","https://www.timeshighereducation.com/world-university-rankings/university-texas-dallas","Richardson"
"=87","California","401–500","301–350","University of California, Merced","https://www.timeshighereducation.com/world-university-rankings/university-california-merced","Merced","","","","",""
"=87","Florida","","","","","","401–500","601–800","University of Central Florida","https://www.timeshighereducation.com/world-university-rankings/university-central-florida","Orlando"
"=87","Colorado","401–500","401–500","Colorado State University, Fort Collins","https://www.timeshighereducation.com/world-university-rankings/colorado-state-university-fort-collins-0","Fort Collins","","","","",""
"=87","Delaware","","","","","","401–500","351–400","University of Delaware","https://www.timeshighereducation.com/world-university-rankings/university-delaware","Newark"
"=87","Florida","401–500","501–600","Florida International University","https://www.timeshighereducation.com/world-university-rankings/florida-international-university","Miami","","","","",""
"=87","Virginia","","","","","","401–500","301–350","George Mason University","https://www.timeshighereducation.com/world-university-rankings/george-mason-university","Fairfax"
"=87","Georgia","401–500","401–500","Georgia State University","https://www.timeshighereducation.com/world-university-rankings/georgia-state-university","Atlanta","","","","",""
"=87","Kentucky","","","","","","401–500","501–600","University of Kentucky","https://www.timeshighereducation.com/world-university-rankings/university-kentucky","Lexington"
"=87","Missouri","401–500","501–600","Missouri University of Science and Technology","https://www.timeshighereducation.com/world-university-rankings/missouri-university-science-and-technology","Rolla","","","","",""
"=87","Missouri","","","","","","401–500","601–800","Mizzou - University of Missouri","https://www.timeshighereducation.com/world-university-rankings/mizzou-university-missouri","Columbia"
"=87","Nebraska","401–500","401–500","University of Nebraska-Lincoln","https://www.timeshighereducation.com/world-university-rankings/university-nebraska-lincoln","Lincoln","","","","",""
"=87","New Jersey","","","","","","401–500","601–800","New Jersey Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/new-jersey-institute-technology","Newark"
"=87","Oregon","401–500","NR","University of Oregon","https://www.timeshighereducation.com/world-university-rankings/university-oregon","Eugene","","","","",""
"=87","New York","","","","","","401–500","601–800","Rensselaer Polytechnic Institute","https://www.timeshighereducation.com/world-university-rankings/rensselaer-polytechnic-institute","Troy"
"=87","Missouri","401–500","301–350","Saint Louis University","https://www.timeshighereducation.com/world-university-rankings/saint-louis-university","Saint Louis","","","","",""
"=87","Colorado","","","","","","401–500","501–600","University of South Carolina-Columbia","https://www.timeshighereducation.com/world-university-rankings/university-south-carolina-columbia","Columbia"
"=87","New Jersey","401–500","501–600","Stevens Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/stevens-institute-technology","Hoboken","","","","",""
"=87","New York","","","","","","401–500","401–500","Syracuse University","https://www.timeshighereducation.com/world-university-rankings/syracuse-university","Syracuse"
"=87","Louisiana","401–500","351–400","Tulane University","https://www.timeshighereducation.com/world-university-rankings/tulane-university","New Orleans","","","","",""
"=87","Virginia","","","","","","401–500","501–600","Virginia Commonwealth University","https://www.timeshighereducation.com/world-university-rankings/virginia-commonwealth-university","Richmond"
"=87","North Carolina","401–500","351–400","Wake Forest University","https://www.timeshighereducation.com/world-university-rankings/wake-forest-university","Winston-Salem","","","","",""
"=108","Alaska","","","","","","501–600","401–500","University of Alaska Fairbanks","https://www.timeshighereducation.com/world-university-rankings/university-alaska-fairbanks","Fairbanks"
"=108","Alabama","501–600","601–800","Auburn University","https://www.timeshighereducation.com/world-university-rankings/auburn-university","Auburn","","","","",""
"=108","Colorado","","","","","","501–600","401–500","University of Denver","https://www.timeshighereducation.com/world-university-rankings/university-denver","Denver"
"=108","Texas","501–600","601–800","University of Houston","https://www.timeshighereducation.com/world-university-rankings/university-houston","Houston","","","","",""
"=108","Nebraska","","","","","","501–600","401–500","University of Nebraska Medical Center","https://www.timeshighereducation.com/world-university-rankings/university-nebraska-medical-center","Omaha"
"=108","Illinois","501–600","351–400","Rush University","https://www.timeshighereducation.com/world-university-rankings/rush-university","Chicago","","","","",""
"=108","Texas","","","","","","501–600","601–800","The University of Texas at San Antonio","https://www.timeshighereducation.com/world-university-rankings/university-texas-san-antonio","Arlington"
"=108","Oklahoma","501–600","401–500","The University of Tulsa","https://www.timeshighereducation.com/world-university-rankings/university-tulsa","Tulsa","","","","",""
"=108","MIchigan","","","","","","501–600","501–600","Wayne State University","https://www.timeshighereducation.com/world-university-rankings/wayne-state-university","Detroit"
"=117","Alabama","601–800","801–1000","University of Alabama","https://www.timeshighereducation.com/world-university-rankings/university-alabama","Tuscaloosa","","","","",""
"=117","Washington DC","","","","","","601–800","601–800","American University","https://www.timeshighereducation.com/world-university-rankings/american-university",""
"=117","Arkansas","601–800","601–800","University of Arkansas","https://www.timeshighereducation.com/world-university-rankings/university-arkansas","Fayetteville","","","","",""
"=117","Texas","","","","","","601–800","601–800","Baylor University","https://www.timeshighereducation.com/world-university-rankings/baylor-university","Waco"
"=117","Washington DC","601–800","NR","The Catholic University of America","https://www.timeshighereducation.com/world-university-rankings/catholic-university-america","","","","","",""
"=117","Massachusetts","","","","","","601–800","601–800","Clark University","https://www.timeshighereducation.com/world-university-rankings/clark-university","Worcester"
"=117","Kansas","601–800","801–1000","Kansas State University","https://www.timeshighereducation.com/world-university-rankings/kansas-state-university","Lawrence","","","","",""
"=117","Pennsylvania","","","","","","601–800","601–800","Lehigh University","https://www.timeshighereducation.com/world-university-rankings/lehigh-university","Bethlehem"
"=117","Louisiana","601–800","601–800","Louisiana State University","https://www.timeshighereducation.com/world-university-rankings/louisiana-state-university","Baton Rouge","","","","",""
"=117","Maryland","","","","","","601–800","601–800","University of Maryland, Baltimore County","https://www.timeshighereducation.com/world-university-rankings/university-maryland-baltimore-county","Baltimore"
"=117","Mississippi","601–800","801–1000","Mississippi State University","https://www.timeshighereducation.com/world-university-rankings/mississippi-state-university","Starkville","","","","",""
"=117","Nevada","","","","","","601–800","601–800","University of Nevada, Las Vegas","https://www.timeshighereducation.com/world-university-rankings/university-nevada-las-vegas","Las Vegas"
"=117","North Carolina","601–800","601–800","University of North Carolina at Charlotte","https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-charlotte","Charlotte","","","","",""
"=117","Illinois","","","","","","601–800","801–1000","Northern Illinois University","https://www.timeshighereducation.com/world-university-rankings/northern-illinois-university","DeKalb"
"=117","Ohio","601–800","801–1000","Ohio University (Main campus)","https://www.timeshighereducation.com/world-university-rankings/ohio-university-main-campus","Athens","","","","",""
"=117","Oklahoma","","","","","","601–800","601–800","Oklahoma State University","https://www.timeshighereducation.com/world-university-rankings/oklahoma-state-university","Stillwater"
"=117","Virginia","601–800","801–1000","Old Dominion University","https://www.timeshighereducation.com/world-university-rankings/old-dominion-university","Norfolk","","","","",""
"=117","Rhode Island","","","","","","601–800","801–1000","University of Rhode Island","https://www.timeshighereducation.com/world-university-rankings/university-rhode-island","South Kingstown"
"=117","New York","601–800","601–800","SUNY Binghamton University","https://www.timeshighereducation.com/world-university-rankings/suny-binghamton-university","Binghamton","","","","",""
"=117","Texas","","","","","","601–800","601–800","University of Texas at Arlington","https://www.timeshighereducation.com/world-university-rankings/university-texas-arlington","Arlington"
"=117","Texas","601–800","801–1000","Texas Tech University","https://www.timeshighereducation.com/world-university-rankings/texas-tech-university","Lubbock","","","","",""
"=117","Ohio","","","","","","601–800","601–800","University of Toledo","https://www.timeshighereducation.com/world-university-rankings/university-toledo","Toledo"
"=117","Virginia","601–800","401–500","William & Mary","https://www.timeshighereducation.com/world-university-rankings/william-mary","Williamsburg","","","","",""
"=117","Massachusetts","","","","","","601–800","801–1000","Worcester Polytechnic Institute","https://www.timeshighereducation.com/world-university-rankings/worcester-polytechnic-institute","Worcester"
"=117","Wyoming","601–800","801–1000","University of Wyoming","https://www.timeshighereducation.com/world-university-rankings/university-wyoming","Laramie","","","","",""
"=142","California","","","","","","801–1000","801–1000","Chapman University","https://www.timeshighereducation.com/world-university-rankings/chapman-university","Orange"
"=142","New York","801–1000","1001–1200","Clarkson University","https://www.timeshighereducation.com/world-university-rankings/clarkson-university","Potsdam","","","","",""
"=142","Florida","","","","","","801–1000","801–1000","Florida Atlantic University","https://www.timeshighereducation.com/world-university-rankings/florida-atlantic-university","Boca Raton"
"=142","Florida","801–1000","1001–1200","Florida Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/florida-institute-technology","Melbourne","","","","",""
"=142","Washington DC","","","","","","801–1000","351–400","Howard University","https://www.timeshighereducation.com/world-university-rankings/howard-university",""
"=142","Wisconsin","801–1000","801–1000","Marquette University","https://www.timeshighereducation.com/world-university-rankings/marquette-university","Milwaukee","","","","",""
"=142","Tennessee","","","","","","801–1000","801–1000","University of Memphis","https://www.timeshighereducation.com/world-university-rankings/university-memphis","Memphis"
"=142","Montana","801–1000","801–1000","Montana State University","https://www.timeshighereducation.com/world-university-rankings/montana-state-university","Bozeman","","","","",""
"=142","New York","","","","","","801–1000","801–1000","The New School","https://www.timeshighereducation.com/world-university-rankings/new-school","New York City"
"=142","New Mexico","801–1000","801–1000","New Mexico State University (Main campus)","https://www.timeshighereducation.com/world-university-rankings/new-mexico-state-university-main-campus","Albuquerque","","","","",""
"=142","Florida","","","","","","801–1000","401–500","Nova Southeastern University","https://www.timeshighereducation.com/world-university-rankings/nova-southeastern-university","Fort Lauderdale"
"=142","Oregon","801–1000","1001–1200","Portland State University","https://www.timeshighereducation.com/world-university-rankings/portland-state-university","Portland","","","","",""
"=142","New York","","","","","","801–1000","1001–1200","Rochester Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/rochester-institute-technology","Rochester"
"=142","California","801–1000","601–800","San Diego State University","https://www.timeshighereducation.com/world-university-rankings/san-diego-state-university","San Diego","","","","",""
"=142","Texas","","","","","","801–1000","801–1000","University of Texas at El Paso","https://www.timeshighereducation.com/world-university-rankings/university-texas-el-paso","El Paso"
"=157","Ohio","1001–1200","1001–1200","Bowling Green State University","https://www.timeshighereducation.com/world-university-rankings/bowling-green-state-university","Bowling Green","","","","",""
"=157","Michigan","","","","","","1001–1200","NR","Central Michigan University","https://www.timeshighereducation.com/world-university-rankings/central-michigan-university","Mount Pleasant"
"=157","Florida","1001–1200","801–1000","Florida Agricultural and Mechanical University","https://www.timeshighereducation.com/world-university-rankings/florida-agricultural-and-mechanical-university","Tallahassee","","","","",""
"=157","Michigan","","","","","","1001–1200","1001–1200","Oakland University","https://www.timeshighereducation.com/world-university-rankings/oakland-university","Rochester"
"=157","New Jersey","1001–1200","1001–1200","Rowan University","https://www.timeshighereducation.com/world-university-rankings/rowan-university","Glassboro","","","","",""
"=157","South Dakota","","","","","","1001–1200","1001–1200","University of South Dakota","https://www.timeshighereducation.com/world-university-rankings/university-south-dakota","Vermillion"
"=157","Texas","1001–1200","1201–1500","Texas State University","https://www.timeshighereducation.com/world-university-rankings/texas-state-university","San Marcos","","","","",""
"=157","Michigan","","","","","","1001–1200","1201–1500","Western Michigan University","https://www.timeshighereducation.com/world-university-rankings/western-michigan-university","Kalamazoo"
"=157","Georgia","1201–1500","1201–1500","Georgia Southern University","https://www.timeshighereducation.com/world-university-rankings/georgia-southern-university","Statesboro","","","","",""
"=157","Maryland","","","","","","1201–1500","1001–1200","Morgan State University","https://www.timeshighereducation.com/world-university-rankings/morgan-state-university","Baltimore"
"=157","Texas","1201–1500","1001–1200","University of Texas Rio Grande Valley","https://www.timeshighereducation.com/world-university-rankings/university-texas-rio-grande-valley","Brownsville","","","","",""
"=168","New York","","","","","","1501+","NR","Adelphi University","https://www.timeshighereducation.com/world-university-rankings/adelphi-university","Garden City"
".=168","South Carolina","1501+","NR","College of Charleston","https://www.timeshighereducation.com/world-university-rankings/college-charleston","Charleston","","","","",""